,ID,STATE_CODE,STATE_NAME,CITY,COUNTY,LATITUDE,LONGITUDE,city,state_,min_salary,max_salary,senior_job,salary_lvl,salary_average
0,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
1,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
2,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
3,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
4,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
5,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
6,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
7,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
8,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
9,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
10,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
11,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
12,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
13,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
14,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
15,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
16,87,AK,Alaska,Houston,Matanuska Susitna,61.633611,-149.841111,Houston,TX,29,38,False,Low,33.5
